id,toxic,sever_toxic,obscene,threat,y_insult,indentity_hate
530a19348239165d,0,0,0,0,0,0
530a29a381f93056,1,0,1,0,1,0
530a7b919cca609f,0,0,0,0,0,0
530c0cd9d4e1a615,0,0,0,0,0,0
530c486b9102dbfd,0,0,0,0,0,0
530ccc019c1732c3,0,0,0,0,0,0
530d56f10bd9f74a,0,0,0,0,0,0
530d7f7e60626b03,1,0,0,0,0,0
530da0813c1d2c80,1,0,1,0,1,0
530e1adafca70a1b,0,0,0,0,0,0
530ebe86e6f6bf43,1,1,1,0,1,0
530ed102c0518a64,1,0,0,0,0,0
530fac25b2d8ece1,1,0,1,0,0,0
531052faf1ebc423,0,0,0,0,0,0
531086dd26227adc,1,0,1,0,1,0
5310e20493a7a937,1,0,0,0,0,0
53111a46d80be5df,1,0,0,0,0,0
5311c0b326a14c80,0,0,0,0,0,0
5312038786229a69,0,0,0,0,0,0
531216434b0a194b,0,0,0,0,0,0
5312a5419a7f81b5,0,0,0,0,0,0
5312b5814db07652,1,0,1,0,1,0
531352d269f9c0c1,0,0,0,0,0,0
531389e77260f680,1,0,1,0,1,0
5314e3437def146a,0,0,0,0,0,0
531509d4423d76a6,0,0,0,0,0,0
53152923471df2c9,0,0,0,0,0,0
531574cfe617688d,1,0,1,0,0,0
531594a70c8cce52,0,0,0,0,0,0
53162e38cc31c326,1,0,0,0,0,0
53163f816caf7f02,0,0,0,0,0,0
5316600c5fa9db0b,0,0,0,0,0,0
5316a55696f34304,0,0,0,0,0,0
5317800ff62e6c2f,0,0,0,0,0,0
5317a3bf360e5273,0,0,0,0,0,0
5317c7efc865b003,0,0,0,0,0,0
5318985d931377ca,0,0,0,0,0,0
531899a45bf5b980,0,0,0,0,0,0
5318f6cf43d22832,1,0,1,0,1,1
53190fc52890f77e,0,0,0,0,0,0
531930a79322e4cf,1,0,1,0,1,0
53193d98c084dd53,0,0,0,0,0,0
53194aa534d793dd,0,0,0,0,0,0
53194f7ec7d26ca1,1,1,1,0,1,1
53196dd708b30c07,1,0,0,0,1,0
5319a136a67f9bc1,0,0,0,0,0,0
531a1a9fad506a7f,1,1,1,1,1,1
531a2a50a731a5d8,1,0,1,0,1,0
531a7c45a8a0c8d8,0,0,0,0,0,0
531b56df17d588ba,1,0,0,0,0,0
531d386eb3a37bab,1,0,1,0,1,0
531d9519d4d803e6,1,1,1,1,1,1
531dd5a17ecb9ec8,0,0,0,0,0,0
531e55e8cd2ed961,0,0,0,0,0,0
531ea8a7d89d64ac,0,0,0,0,0,0
531ef8d126650f6d,1,0,1,0,1,0
531efae4eaaf1f53,0,0,0,0,0,0
531f1a43c0816123,0,0,0,0,0,0
531f63194fcb1c3f,0,0,0,0,0,0
531fa21229dcb095,1,1,1,0,1,1
531fafa250cfa871,1,0,0,0,0,0
531ff26a86391840,0,0,0,0,0,0
5320d27238ab571c,0,0,0,0,0,0
5320e4be1e3cead1,1,0,1,0,1,1
53210f16d852c387,0,0,0,0,0,0
5321761a4269a75c,1,0,0,0,0,0
53219029b7ace690,1,0,1,0,1,1
5321cdc010642849,0,0,0,0,0,0
5322a2a2b834b427,0,0,0,0,0,0
5322b018b18f430f,0,0,0,0,0,0
5323093f1d5536e4,1,0,1,0,0,0
53246bfadbc224d6,1,0,1,0,0,0
5324ade3b6644ed5,1,0,0,0,0,0
5325d418abee61fc,0,0,0,0,0,0
532655a9a0dc8792,1,0,1,0,1,0
532687420efcf6a0,1,1,1,1,1,1
53269a7073ebc922,0,0,0,0,0,0
5326a76ef693c375,0,0,0,0,0,0
53272356ed817f71,1,1,1,1,1,0
53273c14e4dc533c,0,0,0,0,0,0
