id,toxic,sever_toxic,obscene,threat,y_insult,indentity_hate
d94121add444a78d,1,0,1,0,0,0
d9417d208f4514ca,1,1,1,0,1,0
d9418408f03e1885,0,0,0,0,0,0
d941b98d52d6719d,0,0,0,0,0,0
d942010ea0fafd23,0,0,0,0,0,0
d9433a9bcf33688d,0,0,0,0,0,0
d9434ad73ae3ef96,0,0,0,0,0,0
d94359f2f96fb65e,0,0,0,0,0,0
d9435bc09f8d393f,0,0,0,0,0,0
d94394f1ec128149,1,0,0,0,0,0
d943b3619130a759,1,0,0,0,0,0
d9448ba9e6164224,1,0,0,0,0,0
d9450350396ccd30,1,0,0,0,1,0
d9462f309f0c55d8,0,0,0,0,0,0
d946b9c8f138ecfb,0,0,0,0,0,0
d946e1c8c9ec3eaa,0,0,0,0,0,0
d948e2bf6772f3c2,1,1,1,1,1,1
d948e8e3f390cadc,0,0,0,0,0,0
d94a8d600257239e,0,0,0,0,0,0
d94ad6f357caf848,1,0,1,0,1,0
d94ad765a3e45abc,1,0,1,0,1,0
d94b30658c86defd,1,0,1,0,1,0
d94c6585fc49b822,1,0,1,0,0,0
d94c6f665e8c64cd,0,0,0,0,0,0
d94ce6b94d693497,1,1,1,0,1,0
d94db73c33add1f6,0,0,0,0,0,0
d94e53c48a099265,1,0,0,0,0,0
d94e5446cc57cbe1,0,0,0,0,0,0
d94e838afb27e0cf,1,0,0,0,0,0
d94f3b950a4350c8,1,0,1,0,1,0
d94fc6d1979b5faf,0,0,0,0,0,0
d94ff708eddd6511,1,0,1,0,1,0
d950b3debde8b7b9,1,0,1,0,1,0
d950f47a5aeeb3ab,1,0,1,0,1,1
d95123b7d9c34163,0,0,0,0,0,0
d952e3ebb3a45790,0,0,0,0,0,0
d953ba8a10711776,0,0,0,0,0,0
d95447be043e24a6,1,1,1,0,1,1
d95468f84e0e91c3,0,0,0,0,0,0
d954b0c9d3be2b99,1,0,0,0,0,0
d95608991684905d,1,0,1,0,1,0
d95643bc99ec2717,0,0,0,0,0,0
d956d93e1191407a,0,0,0,0,0,0
d956fcef202f9eb4,1,0,1,0,0,0
d957249949d50f35,0,0,0,0,0,0
d957a3fe9a54817b,0,0,0,0,0,0
d957bb9db22a7cbd,1,1,1,0,0,0
d959e952e2d8f1c2,1,0,0,0,1,0
d95a20d696e5172f,1,0,1,0,1,0
d95a95d1137ad1a1,0,0,0,0,0,0
d95aacdad6fe1b32,0,0,0,0,0,0
d95bede222d9ec6a,1,0,0,0,0,0
d95c6dd0a0c05305,1,0,1,0,1,0
d95cc9c2a7ccb5c8,1,0,1,0,1,0
d95d8ecf6e8ceaa6,1,0,1,0,1,0
d95e0341d85cb78b,0,0,0,0,0,0
d95e151fffeedc90,1,0,1,0,0,0
d95e7cc67247a23e,0,0,0,0,0,0
d95f46e14a68669a,0,0,0,0,0,0
d95fa086ee940380,0,0,0,0,0,0
d95fb365b7a98c17,1,0,0,0,1,0
d9608a42a51b3276,0,0,0,0,0,0
d960fe1539cead36,0,0,0,0,0,0
d9619130fc8b1f79,1,0,1,0,1,0
d9622986ff96a50e,1,0,0,0,0,0
d96298337f7a1dc2,0,0,0,0,0,0
d96318a2b6d60a57,1,0,1,0,1,1
d963c7c6b0e33af3,1,0,1,0,1,1
d964078e0db610f3,1,0,1,0,1,0
d964859402ab4e06,1,0,0,0,0,0
d9656f8d625dec70,0,0,0,0,0,0
d965a8385b706129,0,0,0,0,0,0
d965b39f91a85921,0,0,0,0,0,0
d966b7470621014b,1,0,1,0,0,0
d967ab9c47826061,1,1,1,0,1,0
d9681ef2a4dd4076,1,0,0,0,0,0
d96850e58721d364,1,0,1,0,1,0
d968736a0fe715d9,0,0,0,0,0,0
d968f056ff7ea547,1,0,1,0,1,1
d96a653932db1804,0,0,0,0,0,0
d96a79227b4b9be6,1,1,1,1,1,1
d96b56272061fc62,1,0,1,0,1,0
d96b674fc5b681b8,0,0,0,0,0,0
d96b696db595d34d,0,0,0,0,0,0
d96bbce80cdaa16c,1,1,1,1,1,1
d96d0ad94645a7c4,1,1,1,1,1,0
d96d1f0a2386e59c,0,0,0,0,0,0
d96d6e177d30a7c0,1,1,1,0,1,0
d96d6eed96e88442,0,0,0,0,0,0
d96d8be9958763a7,0,0,0,0,0,0
d96dcb36e924539d,1,0,1,0,1,0
d96de93c7cbf0749,0,0,0,0,0,0
d96debc71af5d39b,1,0,0,0,0,0
d96ec023af87358b,0,0,0,0,0,0
d96edd338e564487,1,0,0,0,1,0
d96ee37c445be8c5,0,0,0,0,0,0
d96efd5812c68735,1,0,1,0,1,1
d96f3b10676d4d8a,0,0,0,0,0,0
d96fe0a345b26029,1,0,1,0,1,0
d9714a63d552655f,0,0,0,0,0,0
d9715da66dddc600,0,0,0,0,0,0
d971a52450a2aa53,0,0,0,0,0,0
d97261ac2da4f495,1,1,1,0,1,1
d9727df866c38de3,0,0,0,0,0,0
d972eeb8cde16fa6,1,0,1,0,1,0
d972fd9dc642dfca,0,0,0,0,0,0
d973929487c0488e,1,0,1,0,1,0
